Product Name,Price,Rating
"APPLE iPhone SE (White, 64 GB)","Rs 32,999",4.5
"APPLE iPhone SE (Black, 128 GB)","Rs 37,999",4.5
"APPLE iPhone SE (Red, 64 GB)","Rs 32,999",4.5
"APPLE iPhone XR (Black, 64 GB)","Rs 41,999",4.6
"APPLE iPhone SE (White, 128 GB)","Rs 37,999",4.5
"APPLE iPhone 12 (Blue, 128 GB)","Rs 82,900",4.6
"APPLE iPhone 12 (Black, 128 GB)","Rs 82,900",4.6
"APPLE iPhone SE (Black, 64 GB)","Rs 32,999",4.5
"APPLE iPhone 12 (Purple, 64 GB)","Rs 79,900",4.6
"APPLE iPhone XR (Black, 128 GB)","Rs 46,999",4.6
"APPLE iPhone SE (Red, 128 GB)","Rs 37,999",4.5
"APPLE iPhone 11 (Black, 64 GB)","Rs 51,999",4.6
"APPLE iPhone 12 (Blue, 64 GB)","Rs 77,900",4.6
"APPLE iPhone 12 (Green, 128 GB)","Rs 82,900",4.6
"APPLE iPhone 12 Mini (Green, 128 GB)","Rs 72,900",4.5
"APPLE iPhone 12 (White, 128 GB)","Rs 82,900",4.6
"APPLE iPhone 12 (White, 64 GB)","Rs 77,900",4.6
"APPLE iPhone 12 Mini (White, 128 GB)","Rs 72,900",4.5
"APPLE iPhone 12 Mini (Black, 64 GB)","Rs 67,900",4.5
"APPLE iPhone 12 Pro (Pacific Blue, 256 GB)","Rs 1,25,900",4.6
"APPLE iPhone 12 Mini (Black, 128 GB)","Rs 72,900",4.5
"APPLE iPhone 12 (Red, 128 GB)","Rs 82,900",4.6
"APPLE iPhone 12 Mini (Purple, 128 GB)","Rs 74,900",4.5
"APPLE iPhone 11 Pro (Midnight Green, 64 GB)","Rs 79,999",4.6
